sec x_pos y_pos z_pos twist last
1 0 7.67791587212563e-05 4.44089e-16 -25 ;
2 -2.2627933707235e-05 -0.0133830917554683 3.65 -23.8726486640164 ;
3 -0.00798707089175547 -0.0273155610768368 7.3 -22.7452973280328 ;
4 -0.0207383729669097 -0.0299566939988783 10.95 -21.6179459920492 ;
5 -0.0593194070667415 -0.0309224061693775 14.6 -20.4905946560656 ;
6 -0.138777836231071 -0.0233658070667414 18.25 -19.363243320082 ;
7 -0.247308673022995 -0.0140690191811554 21.9 -18.2358919840984 ;
8 -0.316237858665171 -0.00844569650028043 25.55 -17.1085406481148 ;
9 -0.437479010656197 -0.00535149421200224 29.2 -15.9811893121312 ;
10 -0.631936531688166 -0.0197587427930454 32.85 -14.8538379761476 ;
11 -0.774954427369602 -0.0549894833426809 36.5 -13.726486640164 ;
12 -0.866950237801458 -0.103149720246775 40.15 -12.5991353041804 ;
13 -0.917486836791924 -0.163158452047112 43.8 -11.4717839681968 ;
14 -0.935846546270331 -0.235087131800336 47.45 -10.3444326322132 ;
15 -0.930826201906898 -0.318489945036455 51.1 -9.21708129622962 ;
16 -0.870061514301739 -0.506937518788559 54.75 -8.08972996024602 ;
17 -0.784979773415592 -0.754462085249579 58.4 -6.96237862426242 ;
18 -0.695196596747055 -1.05208817610768 62.05 -5.83502728827882 ;
19 -0.606232061693775 -1.40740603477285 65.7 -4.70767595229523 ;
20 -0.521017716208637 -1.82360913067863 69.35 -3.58032461631162 ;
21 -0.441847291082445 -2.30954471116096 73 -2.45297328032802 ;
22 -0.36174205832866 -2.91105451486259 76.65 -1.32562194434443 ;
23 -0.339884217610768 -3.05628394840157 80.3 -0.198270608360829 ;
24 -0.314217008412787 -3.20571070106562 83.95 0.929080727622768 ;
25 -0.280357903533371 -3.35979505328099 87.6 2.05643206360637 ;
26 -0.227828947840718 -3.51733150869321 91.25 3.18378339958997 ;
27 -0.0985153538979248 -3.6568731912507 94.9 4.31113473557357 ;
