sec x_pos y_pos z_pos twist last
sec 1 0 7.69970353213665e-05 4.44089e-16 -25 ;
sec 2 -2.26921451071222e-05 -0.0134210690214244 3.65 -25 ;
sec 3 -0.00800973584250145 -0.0273930745801969 7.3 -25 ;
sec 4 -0.0207972223508975 -0.0300417022582513 10.95 -25 ;
sec 5 -0.0594877380428489 -0.0310101548349739 14.6 -23.5176414383752 ;
sec 6 -0.139171646786335 -0.0234321123335263 18.25 -19.3710217532689 ;
sec 7 -0.248010462072959 -0.0141089429067748 21.9 -16.020217005166 ;
sec 8 -0.317135248407643 -0.00846966289519398 25.55 -13.2323636217555 ;
sec 9 -0.43872044701795 -0.00536668017371164 29.2 -10.8409857620609 ;
sec 10 -0.633729781123335 -0.0198148122756225 32.85 -8.73427718507322 ;
sec 11 -0.7771535193978 -0.0551455272727273 36.5 -6.85155734443834 ;
sec 12 -0.869410386797915 -0.103442428720324 40.15 -5.1705270258881 ;
sec 13 -0.920090393746381 -0.163621447596989 43.8 -3.68655579925853 ;
sec 14 -0.938502202663578 -0.235754239722061 47.45 -2.39430260801808 ;
sec 15 -0.933467612044007 -0.319393725535611 51.1 -1.27990164487499 ;
sec 16 -0.872530492182976 -0.50837605790388 54.75 -0.319574180042399 ;
sec 17 -0.787207314418066 -0.756603026056746 58.4 0.447370129178066 ;
sec 18 -0.697169359583092 -1.05507369195136 62.05 0.971306880870278 ;
sec 19 -0.607952369426752 -1.41139983786914 65.7 1.44005964477478 ;
sec 20 -0.522496210770122 -1.82878399536769 69.35 1.86193861673076 ;
sec 21 -0.443101123335263 -2.31609851766068 73 2.24353030486509 ;
sec 22 -0.362768575564563 -2.91931522872032 76.65 2.59008867994525 ;
sec 23 -0.340848708743486 -3.0649567805443 80.3 2.90633028905892 ;
sec 24 -0.31510866357846 -3.21480756224667 83.95 3.19600471294218 ;
sec 25 -0.281153476548929 -3.36932916039375 87.6 3.46214931924755 ;
sec 26 -0.228475459177765 -3.52731265778807 91.25 3.7077745764177 ;
sec 27 -0.0987949114070643 -3.66725031847134 94.9 3.78757377554548 ;
