sec x_pos y_pos z_pos twist last
sec 1 0 7.30888475506659e-05 4.44089e-16 -25 ;
sec 2 -2.15403453835553e-05 -0.0127398472367111 3.46473461538462 -25 ;
sec 3 -0.00760318055715113 -0.0260026667725536 6.92946923076923 -33.6127045640306 ;
sec 4 -0.0197416044337001 -0.028516856361436 10.3942038461538 -26.7408809409536 ;
sec 5 -0.0564682808734221 -0.0294361525712797 13.8589384615385 -21.5666341453079 ;
sec 6 -0.132107622493341 -0.0222427536201505 17.3236730769231 -17.644968830087 ;
sec 7 -0.235422036416908 -0.0133928062672843 20.7884076923077 -14.592221928037 ;
sec 8 -0.301038211757962 -0.0080397627982513 24.2531423076923 -12.1402895741355 ;
sec 9 -0.416452032674001 -0.00509428015549508 27.7178769230769 -10.1061665488633 ;
sec 10 -0.601563153276201 -0.0188090591749855 31.1826115384615 -8.36515119255209 ;
sec 11 -0.737707041130284 -0.0523464704727273 34.6473461538462 -6.83332736738489 ;
sec 12 -0.825281167702374 -0.0981919352018529 38.1120807692308 -5.45735920822222 ;
sec 13 -0.873388777122177 -0.155316409125651 41.5768153846154 -4.20825808354359 ;
sec 14 -0.890866046077591 -0.223787910983208 45.04155 -3.07516721295095 ;
sec 15 -0.886086999394325 -0.303182053917776 48.5062846153846 -2.05642957772372 ;
sec 16 -0.828242903902721 -0.482572089165026 51.9710192307692 -1.14919624414344 ;
sec 17 -0.747250529246091 -0.718199642324262 55.4357538461538 -0.342152646681129 ;
sec 18 -0.661782688474812 -1.00152064172206 58.9004884615385 0.384551405551078 ;
sec 19 -0.577094142152866 -1.33976051353793 62.3652230769231 1.05519552665665 ;
sec 20 -0.495975536400695 -1.7359592363868 65.8299576923077 1.69288487991709 ;
sec 21 -0.420610356201505 -2.19853882377533 69.2946923076923 2.31445534965235 ;
sec 22 -0.344355298940359 -2.77113767840185 72.7594269230769 2.92670228159354 ;
sec 23 -0.323548032819919 -2.90938680882455 76.2241615384615 3.5240939481877 ;
sec 24 -0.299114491591199 -3.0516315185524 79.6888961538462 4.08671983383959 ;
sec 25 -0.266882789708164 -3.19830996510712 83.1536307692308 4.41642456361625 ;
sec 26 -0.216878584158657 -3.3482745930747 86.6183653846154 4.62561706321673 ;
sec 27 -0.0937803148975101 -3.48110934840764 90.0831 4.47000503884408 ;
