1  number of sets, Nset
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#1	user_mads generated blade	
    r              m              x_cg           y_cg           ri_x           ri_y           x_sh           y_sh           E              G              I_x            I_y            I_p            k_x            k_y            A              pitch          x_e            y_e        
$1  51
   0.000000e+00   1.294538e+03  -4.379951e-03  -3.657463e-03   1.902788e+00   1.841497e+00  -3.014408e-03  -9.868789e-03   1.261238e+10   2.526807e+09   5.810233e+00   5.729383e+00   1.286930e+01   5.452145e-01   7.039023e-01   1.534729e+00   0.000000e+00  -5.076714e-03  -3.369570e-03
   2.102284e+00   1.296859e+03  -5.679215e-03  -3.803758e-03   1.903544e+00   1.841233e+00  -3.732937e-03  -1.001657e-02   1.264188e+10   2.527648e+09   5.825132e+00   5.725875e+00   1.287542e+01   5.456708e-01   7.029698e-01   1.535964e+00   0.000000e+00  -6.543924e-03  -3.442164e-03
   3.904102e+00   1.308965e+03  -1.226622e-02  -5.943517e-03   1.898207e+00   1.835846e+00  -1.665872e-03  -8.844697e-03   1.251170e+10   2.480149e+09   5.963368e+00   5.786514e+00   1.304841e+01   5.504455e-01   6.937263e-01   1.572840e+00   0.000000e+00  -6.391495e-03  -4.289892e-03
   5.705753e+00   1.274923e+03  -1.803316e-02  -5.642400e-03   1.870168e+00   1.823153e+00   6.523507e-03   5.168467e-03   1.232125e+10   2.428220e+09   5.781655e+00   5.583483e+00   1.248451e+01   5.614342e-01   6.738862e-01   1.559474e+00   0.000000e+00  -1.676285e-02  -4.662730e-03
   7.507435e+00   1.211951e+03  -1.487538e-03  -8.586843e-03   1.810742e+00   1.795896e+00   3.899421e-02   1.159282e-02   1.144144e+10   2.208310e+09   5.647482e+00   5.491162e+00   1.187486e+01   5.700726e-01   6.403877e-01   1.602620e+00   0.000000e+00   1.411982e-02  -5.472444e-03
   9.309117e+00   1.141959e+03   1.998834e-02  -3.795797e-03   1.688665e+00   1.793924e+00   1.170016e-01   3.867111e-02   1.095345e+10   2.086808e+09   4.768854e+00   5.499894e+00   1.043755e+01   5.857277e-01   5.847446e-01   1.585849e+00  -4.280395e+01   4.261965e-02   2.617818e-03
   1.111054e+01   1.060683e+03   1.023546e-01   4.134263e-03   1.579621e+00   1.737714e+00   3.034439e-01   7.034774e-02   1.016250e+10   1.902067e+09   4.171501e+00   5.120692e+00   8.698661e+00   5.939148e-01   5.245650e-01   1.587986e+00  -3.590940e+01   1.424053e-01   8.416946e-03
   1.291081e+01   9.889790e+02   1.629122e-01   1.296565e-02   1.443538e+00   1.702346e+00   5.208869e-01   1.044740e-01   9.683212e+09   1.785634e+09   3.472464e+00   4.631748e+00   6.699596e+00   5.913669e-01   4.598905e-01   1.556681e+00  -2.573683e+01   2.129277e-01   1.146245e-02
   1.471369e+01   9.455885e+02   2.653190e-01   2.301784e-02   1.303826e+00   1.677185e+00   7.869177e-01   9.545009e-02   9.337642e+09   1.709740e+09   2.878090e+00   4.283027e+00   5.159234e+00   5.954270e-01   4.070511e-01   1.544816e+00  -1.892689e+01   3.237698e-01   1.712987e-02
