radial	chord	t_c	rigid	semicolon
5	12.8274705839701	45.8104637459569	1	;
5.5	12.8990529799971	45.3978242156078	1	;
6	12.9451054896214	45.0463830549733	1	;
6.5	12.9670251667242	44.7503630257765	1	;
7	12.9664272577839	44.5040037875127	1	;
7.5	12.9450785982928	44.3016467601679	1	;
8	12.9048146161229	44.1378757628945	1	;
8.5	12.8474672898854	44.0076295565375	1	;
9	12.7748562163132	43.9061156260939	1	;
9.5	12.6886869521141	43.8290618037987	1	;
10	12.5905700828649	43.7725758919013	1	;
10.5	12.4819953811522	43.7331781616917	1	;
11	12.3643251555745	43.7077848216745	1	;
11.5	12.2387938268128	43.6936837064202	1	;
12	12.1065119427846	43.6885052689742	1	;
12.5	11.9684731343199	43.6901912907905	1	;
13	11.8255628239972	43.6969630987403	1	;
13.5	11.6785677867832	43.7072905639787	1	;
14	11.5281859148037	43.7198627181887	1	;
14.5	11.375035740384	43.7335605008204	1	;
15	11.2196654321111	43.7474318999263	1	;
15.5	11.0625610981227	43.7606695726765	1	;
16	10.9041543170114	43.7725909108289	1	;
16.5	10.7448288770029	43.7826204361255	1	;
17	10.5849267436785	43.7902743633381	1	;
17.5	10.4247533010485	43.7951471443734	1	;
18	10.2645819247633	43.7968997973079	1	;
18.5	10.1046579522679	43.7952498270292	1	;
19	9.94517373182786	43.7900875317537	1	;
19.5	9.78639000956889	43.7809487713529	1	;
20	9.62845269789314	43.767821098045	1	;
20.5	9.47152495074813	43.7505726241315	1	;
21	9.31575494999119	43.7290951489835	1	;
21.5	9.16127742969246	43.7033006448685	1	;
22	9.00821506479496	43.6731179398529	1	;
22.5	8.85667966623389	43.6384899141493	1	;
23	8.70677320699708	43.5993711575821	1	;
23.5	8.55858870695487	43.555726011148	1	;
24	8.41221099730384	43.5075269403142	1	;
24.5	8.26771738162047	43.4547531995757	1	;
25	8.12517821013574	43.397389742933	1	;
25.5	7.98465738123065	43.3354263415324	1	;
26	7.84621277868713	43.2688568932051	1	;
26.5	7.70989665689937	43.1976788845859	1	;
27	7.57575598045974	43.1218929928723	1	;
27.5	7.44383272502657	43.0415028084589	1	;
28	7.31416414583653	42.9565146592163	1	;
28.5	7.18678301757836	42.8669375293724	1	;
29	7.06171785053081	42.7727830568448	1	;
29.5	6.93899308602138	42.6740656012298	1	;
30	6.81862927382914	42.5708023755346	1	;
30.5	6.70064323415259	42.463013633117	1	;
31	6.58504820622341	42.3507229030078	1	;
31.5	6.47185398495438	42.2339572698565	1	;
32	6.36106704723975	42.1127476922005	1	;
32.5	6.25269066916249	41.9871293539474	1	;
33	6.14672503489909	41.8571420460852	1	;
33.5	6.04316733838651	41.7228305730261	1	;
34	5.94201187851209	41.5842451791589	1	;
34.5	5.84325014841236	41.4414419916867	1	;
35	5.74687091960285	41.2944834742369	1	;
35.5	5.65286032143562	41.1434388866627	1	;
36	5.56120191655274	40.988384744674	1	;
36.5	5.47187677279901	40.8294052738487	1	;
37	5.38486353228599	40.6665928504384	1	;
37.5	5.3001384781004	40.5000484223701	1	;
38	5.21767559943574	40.3298819013402	1	;
38.5	5.13744665579029	40.1562125175317	1	;
39	5.0594212410073	39.9791691272236	1	;
39.5	4.98356684804087	39.7988904625032	1	;
40	4.90984893531131	39.615525312321	1	;
40.5	4.83823099564353	39.4292326230889	1	;
41	4.76867462881463	39.2401815068448	1	;
41.5	4.70113961877802	39.0485511448809	1	;
42	4.63558401662668	38.8545305751245	1	;
42.5	4.57196423039627	38.6583183517333	1	;
43	4.51023512271676	38.4601220667529	1	;
43.5	4.4503501172614	38.2601577249604	1	;
44	4.39226131479679	38.0586489651456	1	;
44.5	4.33591961945451	37.8558261236595	1	;
45	4.28126827816514	37.6519831608933	1	;
45.5	4.22827031279746	37.4472368063737	1	;
46	4.17686634455886	37.2418962945794	1	;
46.5	4.12700392407339	37.0362066630653	1	;
47	4.07863024674545	36.8304122174731	1	;
47.5	4.03169228161642	36.6247552550196	1	;
48	3.98613696114701	36.419474224184	1	;
48.5	3.94191137458983	36.2148018342472	1	;
49	3.89896296284054	36.0109631429484	1	;
49.5	3.85723971082797	35.808173667427	1	;
50	3.81669033568477	35.6066375435621	1	;
50.5	3.77726446727696	35.4065457735775	1	;
51	3.73891281822263	35.2080745961677	1	;
51.5	3.70158734084701	35.0113840096069	1	;
52	3.66524136820187	34.8166164803985	1	;
52.5	3.62982973811851	34.6238958516037	1	;
53	3.59530730098323	34.4333417708572	1	;
53.5	3.56162819749237	34.2450771175974	1	;
54	3.52875874595926	34.0591042731492	1	;
54.5	3.49666067502102	33.8754659216592	1	;
55	3.46529741003412	33.6941854161154	1	;
55.5	3.43463420825678	33.5152658304037	1	;
56	3.40463813829723	33.3386905432043	1	;
56.5	3.37527805043273	33.1644239449667	1	;
57	3.34652452671808	32.9924123727482	1	;
57.5	3.31834981598691	32.8225852207865	1	;
58	3.29072776566532	32.654856105929	1	;
58.5	3.26363373229282	32.4891242632428	1	;
59	3.23704449564191	32.3252759227322	1	;
59.5	3.21093816018087	32.1631858243606	1	;
60	3.18529405862748	32.0027187215074	1	;
60.5	3.16009264432011	31.8437310020643	1	;
61	3.13531539234127	31.686072224233	1	;
61.5	3.11094469278735	31.5295867299571	1	;
62	3.08696374906369	31.3741152033146	1	;
62.5	3.06335647549588	31.2194962278274	1	;
63	3.04010739851491	31.0655677961708	1	;
63.5	3.0172015606385	30.9121687765163	1	;
64	2.9946244247622	30.7591403574959	1	;
64.5	2.97236178394168	30.6063274153741	1	;
65	2.95039967626402	30.4535798035943	1	;
65.5	2.92872429822476	30.3007536289493	1	;
66	2.90732192588695	30.1477124154889	1	;
66.5	2.88617883894276	29.9943282026268	1	;
67	2.86528124691155	29.8404825821175	1	;
67.5	2.84461522071622	29.6860676369197	1	;
68	2.82416662749795	29.5309868008466	1	;
68.5	2.80392106912931	29.3751556311651	1	;
69	2.78386382421628	29.21850249347	1	;
69.5	2.76397979452301	29.0609691464011	1	;
70	2.74425345394993	28.9025112434172	1	;
70.5	2.72466880304392	28.7430987182802	1	;
71	2.70520932288767	28.5827161172793	1	;
71.5	2.68585793652873	28.4213627909506	1	;
72	2.66659696926594	28.25905303581	1	;
72.5	2.64740811284145	28.0958161323862	1	;
73	2.62827239050634	27.9316963114509	1	;
73.5	2.60917012228828	27.7667526559268	1	;
74	2.59008089065853	27.6010589371745	1	;
74.5	2.57098350444326	27.4347034097512	1	;
75	2.55185596026131	27.2677885739948	1	;
75.5	2.53267540029815	27.1004309213051	1	;
76	2.51341806422587	26.9327606882242	1	;
76.5	2.49405923519287	26.7649216234765	1	;
77	2.47457317686802	26.5970708042795	1	;
77.5	2.45493305950493	26.4293785287559	1	;
78	2.43511087488373	26.262028292073	1	;
78.5	2.41507733597483	26.0952168985652	1	;
79	2.39480176102252	25.9291547225567	1	;
79.5	2.37425193815482	25.7640661717928	1	;
80	2.35339396931442	25.6001903817077	1	;
80.5	2.3321920901212	25.4377821965154	1	;
81	2.31060846286829	25.2771134923479	1	;
81.5	2.28860293962735	25.1184749073177	1	;
82	2.26613279108455	24.9621780676226	1	;
82.5	2.24315239698629	24.8085584085419	1	;
83	2.21961289295691	24.657978717747	1	;
83.5	2.19546176680173	24.5108335684158	1	;
84	2.17064239644111	24.3675548495301	1	;
84.5	2.14509487219884	24.2286033849595	1	;
85	2.11874688567185	24.0945736894421	1	;
85.5	2.09205327749115	23.9600186561276	1	;
86	2.0657839695892	23.8156712646222	1	;
86.5	2.03839640713439	23.6788153346766	1	;
87	2.0097644443957	23.5506355474858	1	;
87.5	1.97975065352095	23.4324802777978	1	;
88	1.94820305255064	23.3259222109571	1	;
88.5	1.91495257336014	23.2328200911312	1	;
89	1.87981023313325	23.1553973323423	1	;
89.5	1.84256366469709	23.0963473277987	1	;
90	1.80297273195047	23.0589775412685	1	;
90.5	1.76076388138198	23.0474102494938	1	;
91	1.71551828772118	23.0682720181374	1	;
91.5	1.66705149181396	23.1259261344338	1	;
92	1.61485090490774	23.2303452660709	1	;
92.5	1.5584019493412	23.393523609702	1	;
93	1.49707868660792	23.6320567717092	1	;
93.5	1.43010259636694	23.9696391252684	1	;
94	1.35999767832921	24.3781602314179	1	;
94.5	1.28238533637005	24.955239896137	1	;
95	1.19467775590577	25.798128548984	1	;
95.5	1.09312027547723	27.0840769024977	1	;
